p0001   کورونا وائرس مرض 2019 (COVID-19) ایک متعدی بیماری ہے جس کی عام علامات میں بخار، کھانسی اور سانس لینے میں دشواری شامل ہیں۔
p0002   کووڈ-19 کی تشخیص کے لیے rRT-PCR سویب ٹیسٹ عام طور پر استعمال ہوتے ہیں اور یہ وائرس کی موجودگی کی تصدیق کرتے ہیں۔
p0003   ہاتھوں کی باقاعدہ صفائی، صابن اور پانی سے کم از کم 20 سیکنڈ تک دھونا وبا کے پھیلاؤ کو کم کرتا ہے؛ جب صابن دستیاب نہ ہو تو الکوحل بیسڈ سینٹائزر مفید ہے۔
p0004   ماسک پہننا، خاص طور پر جب عوامی جگہوں پر بھیڑ ہو، سانس کے ذریعے پھیلنے والے ذرات کے خطرے کو کم کرتا ہے؛ مختلف ماسک اقسام میں N95، سرجیکل اور کپڑے کے ماسک شامل ہیں۔
p0005   سماجی فاصلہ رکھنا اور بھیڑ بھاڑ والی جگہوں سے گریز وبائی دور میں انفیکشن کے امکانات گھٹاتا ہے؛ کھلی ہوا میں وقت گزارنا اور وینٹیلیشن مؤثر ہیں۔
p0006   کووڈ-19 کے سنگین معاملات میں نمونیا اور سانس لینے میں شدید دشواری پیدا ہو سکتی ہے جس کے لیے ہسپتال میں داخلہ، آکسیجن تھراپی اور وینٹیلیٹرز ضروری ہو سکتے ہیں۔
p0007   ویکسینیں کووڈ-19 کے خلاف حفاظتی ردعمل پیدا کرتی ہیں اور شدید بیماری اور اموات کے خطرے کو کم کرتی ہیں؛ مختلف ویکسین ٹیکنالوجیز میں mRNA، ویکٹر اور روایتی طریقے شامل ہیں۔
p0008   ویکسین کے عام مضر اثرات میں انجیکشن سائٹ پر درد، ہلکا بخار اور تھکن شامل ہو سکتے ہیں جو عموماً چند دنوں میں ختم ہو جاتے ہیں؛ سنگین ضمنی اثرات نایاب ہیں۔
p0009   عالمی ادارہ صحت اور مقامی صحت حکام ویکسین کی حفاظت اور مؤثریت کے بارے میں رہنمائی جاری کرتے ہیں اور کلینیکل ٹرائلز کے نتائج کی بنیاد پر سفارشات دیتے ہیں۔
p0010   کووڈ-19 کے مختلف ویرینٹس سامنے آئے ہیں جن میں الفا، ڈیلٹا اور اومیکرون شامل ہیں؛ ویرینٹس کی نگرانی جاری رہتی ہے اور جینیاتی ترتیب اس میں مدد دیتی ہے۔
p0011   ویکسین بوسٹر خوراکیں وقت کے ساتھ مدافعتی سطح کو بڑھانے کے لیے تجویز کی جاتی ہیں، خاص طور پر کمزور افراد اور طبی طور پر حساس گروپس کے لیے۔
p0012   اسپتالوں میں آکسیجن تھراپی اور وینٹیلیٹرز شدید مریضوں کی مدد کے لیے استعمال ہوتے ہیں؛ طبی ٹیم مریض کی آکسیجن سطح اور علامات کی بنیاد پر علاج کا فیصلہ کرتی ہے۔
p0013   اینٹی وائرل ادویات اور مخصوص علاجی طریقے بعض مریضوں میں فائدہ مند ثابت ہوئے ہیں مگر ہر مریض کے لیے مناسب طبی مشورہ اور شواہد کی جانچ ضروری ہے۔
